symbol,tier,category,notes
SPX,1,index,"S&P 500 Index - Cash-settled, pro mode (Core Daily 0DTE)"
SPY,1,etf,SPDR S&P 500 ETF - Primary 0DTE target (Core Daily 0DTE)
QQQ,1,etf,Invesco QQQ Trust - Primary 0DTE target (Core Daily 0DTE)
MAGS,1,etf,Mag 7 ETF - Core Daily 0DTE
IWM,1,etf,iShares Russell 2000 ETF - High volatility (Core Daily 0DTE)
RUT,1,index,Russell 2000 Index - Cash-settled (Core Daily 0DTE)
VIX,1,index,"CBOE VIX — same ORB SO rules as other 0dte_list names (CALL=long SO, PUT=bearish SO); optional NEUTRAL tape: 0DTE_ORB_TREAT_NEUTRAL_AS_*"
GLD,1,etf,SPDR Gold Trust - Commodity exposure (Core Daily 0DTE)
GDX,2,etf,VanEck Gold Miners ETF - Commodity exposure (Mega-cap/Institutional Momentum)
SLV,1,etf,iShares Silver Trust - Commodity exposure (Core Daily 0DTE)
IBIT,1,etf,iShares Bitcoin Trust - Crypto exposure (Core Daily 0DTE)
CRCL,2,equity,Circle Internet Group - Stablecoin infrastructure (Thematic/Sector Momentum)
SMH,2,etf,VanEck Semiconductor ETF - Sector exposure (Mega-cap/Institutional Momentum)
NVDA,2,equity,"AI leader, extreme gamma (Mega-cap/Institutional Momentum)"
MSFT,2,equity,Structure + flow; primary 0DTE underlying (aligned ORB SO price action)
AAPL,2,equity,Stable ORB (Mega-cap/Institutional Momentum)
GOOGL,2,equity,Alphabet - Tech giant (Mega-cap/Institutional Momentum)
AMZN,2,equity,Liquidity + trend (Mega-cap/Institutional Momentum)
META,2,equity,Clean momentum (Mega-cap/Institutional Momentum)
AVGO,2,equity,Semiconductor strength (Mega-cap/Institutional Momentum)
TSLA,2,equity,Volatility king (Mega-cap/Institutional Momentum)
LLY,2,equity,Eli Lilly - Pharma (Mega-cap/Institutional Momentum)
COST,2,equity,Costco - Retail leader (Mega-cap/Institutional Momentum)
NFLX,2,equity,Netflix - Streaming leader (Mega-cap/Institutional Momentum)
HD,2,equity,Home Depot - Retail giant (Mega-cap/Institutional Momentum)
ASML,2,equity,Global chip bottleneck (Mega-cap/Institutional Momentum)
AMD,2,equity,ORB monster (Mega-cap/Institutional Momentum)
CSCO,2,equity,Cisco Systems - Networking & enterprise IT (Mega-cap/Institutional Momentum)
PLTR,2,equity,AI narrative (Thematic/Sector Momentum)
ARM,2,equity,High beta (Mega-cap/Institutional Momentum)
AMAT,2,equity,Applied Materials - Semiconductor equipment (Mega-cap/Institutional Momentum)
QCOM,2,equity,Semiconductors (Thematic/Sector Momentum)
NOW,2,equity,ServiceNow - Cloud platform (Mega-cap/Institutional Momentum)
UBER,2,equity,Uber - Mobility & delivery (Mega-cap/Institutional Momentum)
CEG,2,equity,Energy (Thematic/Sector Momentum)
APP,2,equity,AppLovin - Ad tech / growth (Mega-cap/Institutional Momentum)
MU,2,equity,Memory cycles (Thematic/Sector Momentum)
CRWD,2,equity,CrowdStrike Holdings (Thematic/Sector Momentum)
PANW,2,equity,Palo Alto Networks (Thematic/Sector Momentum)
INTC,2,equity,Intel - Chip manufacturer (Mega-cap/Institutional Momentum)
MELI,2,equity,MercadoLibre — primary 0DTE underlying (aligned ORB/Trendline price action)
LRCX,2,equity,Lam Research - Semiconductor equipment (Mega-cap/Institutional Momentum)
MRVL,2,equity,Marvell Technology - Semiconductor (Mega-cap/Institutional Momentum)
EQIX,2,equity,Data centers (Thematic/Sector Momentum)
VRT,2,equity,Vertiv - Data center power & thermal (Thematic/Sector Momentum)
COIN,2,equity,Crypto proxy (Thematic/Sector Momentum)
SNOW,2,equity,Snowflake - Data cloud (Mega-cap/Institutional Momentum)
DELL,2,equity,Dell Technologies - Infrastructure & PCs (Thematic/Sector Momentum)
VST,2,equity,Power generation (Thematic/Sector Momentum)
MSTR,2,equity,MicroStrategy - Bitcoin play (Mega-cap/Institutional Momentum)
NET,2,equity,Cloud momentum (Thematic/Sector Momentum)
